Year,Month,Day,Hour,CY,Lat,Lon,VMax,MSLP,SN,Cat
1945,4,19,12,1,9.5,160.3,25,,194501,TD
1945,4,19,18,1,9.6,159.9,30,,194501,TD
1945,4,20,0,1,9.6,159.7,35,,194501,TS
1945,4,20,6,1,9.7,159.3,40,,194501,TS
1945,4,20,12,1,9.8,158.8,45,,194501,TS
1945,4,20,18,1,9.8,158.3,45,,194501,TS
1945,4,21,0,1,9.8,157.9,50,,194501,TS
1945,4,21,6,1,9.9,157.4,50,,194501,TS
1945,4,21,12,1,10.0,157.0,50,,194501,TS
1945,4,21,18,1,10.0,156.5,40,,194501,TS
1945,4,22,0,1,10.1,155.8,40,,194501,TS
1945,4,22,6,1,10.2,155.1,35,,194501,TS
1945,4,22,12,1,10.2,154.5,35,,194501,TS
1945,4,22,18,1,10.3,154.2,35,,194501,TS
1945,4,23,0,1,10.4,153.8,35,,194501,TS
1945,4,23,6,1,10.5,153.4,30,,194501,TD
1945,4,23,12,1,10.6,153.0,30,,194501,TD
1945,4,23,18,1,11.0,152.4,30,,194501,TD
1945,4,24,0,1,11.2,152.0,30,,194501,TD
1945,4,24,6,1,11.6,151.5,30,,194501,TD
1945,4,24,12,1,12.0,151.0,30,,194501,TD
1945,4,24,18,1,12.7,150.6,30,,194501,TD
1945,4,25,0,1,13.3,150.2,30,,194501,TD
1945,4,25,6,1,13.9,149.8,25,,194501,TD
1945,4,25,12,1,14.5,149.5,25,,194501,TD
1945,4,25,18,1,15.1,149.3,25,,194501,TD
1945,4,26,0,1,15.8,149.2,25,,194501,TD
1945,4,26,6,1,16.4,149.1,20,,194501,TD
1945,4,26,12,1,17.0,149.0,20,,194501,TD
1945,5,13,12,2,19.0,136.0,20,,194502,TD
1945,5,13,18,2,19.8,136.8,25,,194502,TD
1945,5,14,0,2,20.4,137.4,30,,194502,TD
1945,5,14,6,2,21.3,138.2,35,,194502,TS
1945,5,14,12,2,22.0,139.0,40,,194502,TS
1945,5,14,18,2,23.0,139.8,50,,194502,TS
1945,5,15,0,2,24.0,140.5,55,,194502,TS
1945,5,15,6,2,25.6,141.9,50,,194502,TS
1945,5,15,12,2,27.0,143.0,40,,194502,TS
1945,5,15,18,2,28.0,144.4,35,,194502,TS
1945,5,16,0,2,29.1,145.8,30,,194502,TD
1945,5,16,6,2,30.0,147.2,30,,194502,TD
1945,5,16,12,2,31.0,148.5,25,,194502,TD
1945,6,1,12,3,11.3,133.0,30,,194503,TD
1945,6,1,18,3,11.8,132.0,30,,194503,TD
1945,6,2,0,3,12.1,131.3,30,,194503,TD
1945,6,2,6,3,12.5,130.4,30,,194503,TD
1945,6,2,12,3,13.0,129.5,30,,194503,TD
1945,6,2,18,3,14.0,129.3,30,,194503,TD
1945,6,3,0,3,15.0,129.2,35,,194503,TS
1945,6,3,6,3,16.0,129.1,35,,194503,TS
1945,6,3,12,3,17.0,129.0,35,,194503,TS
1945,6,3,18,3,18.2,129.4,35,,194503,TS
1945,6,4,0,3,19.4,130.0,40,,194503,TS
1945,6,4,6,3,20.4,130.4,40,,194503,TS
1945,6,4,12,3,21.5,131.0,40,,194503,TS
1945,6,4,18,3,23.0,132.0,40,,194503,TS
1945,6,5,0,3,24.3,133.3,45,,194503,TS
1945,6,5,6,3,25.7,134.7,50,,194503,TS
1945,6,5,12,3,27.0,136.0,60,,194503,TS
1945,6,5,18,3,28.0,137.6,70,,194503,Cat1
1945,6,6,0,3,29.0,139.0,70,,194503,Cat1
1945,6,6,6,3,30.0,140.5,60,,194503,TS
1945,6,6,12,3,31.0,142.0,55,,194503,TS
1945,6,6,18,3,31.5,143.9,50,,194503,TS
1945,6,7,0,3,32.0,145.7,40,,194503,TS
1945,6,7,6,3,32.6,147.3,35,,194503,TS
1945,6,7,12,3,33.0,149.0,30,,194503,TD
1945,6,18,12,4,13.0,134.0,30,,194504,TD
1945,6,18,18,4,14.0,134.4,40,,194504,TS
1945,6,19,0,4,15.0,134.9,45,,194504,TS
1945,6,19,6,4,16.0,135.5,40,,194504,TS
1945,6,19,12,4,17.0,136.0,35,,194504,TS
1945,6,19,18,4,18.2,136.2,35,,194504,TS
1945,6,20,0,4,19.3,136.5,35,,194504,TS
1945,6,20,6,4,20.4,136.7,35,,194504,TS
1945,6,20,12,4,21.5,137.0,40,,194504,TS
1945,6,20,18,4,22.7,138.5,40,,194504,TS
1945,6,21,0,4,23.8,140.0,35,,194504,TS
1945,6,21,6,4,24.9,141.5,35,,194504,TS
1945,6,21,12,4,26.0,143.0,35,,194504,TS
1945,7,3,12,5,14.2,113.1,20,,194505,TD
1945,7,3,18,5,14.5,113.4,20,,194505,TD
1945,7,4,0,5,14.8,113.7,20,,194505,TD
1945,7,4,6,5,15.2,113.9,20,,194505,TD
1945,7,4,12,5,15.5,114.3,20,,194505,TD
1945,7,4,18,5,16.0,114.4,20,,194505,TD
1945,7,5,0,5,16.4,114.7,20,,194505,TD
1945,7,5,6,5,16.8,115.0,30,,194505,TD
1945,7,5,12,5,17.3,115.3,30,,194505,TD
1945,7,5,18,5,17.9,115.4,30,,194505,TD
1945,7,6,0,5,18.5,115.5,35,,194505,TS
1945,7,6,6,5,19.0,115.5,35,,194505,TS
1945,7,6,12,5,19.6,115.4,35,,194505,TS
1945,7,6,18,5,20.2,114.9,40,,194505,TS
1945,7,7,0,5,20.7,114.4,50,,194505,TS
1945,7,7,6,5,21.2,114.0,45,,194505,TS
1945,7,7,12,5,21.5,113.4,40,,194505,TS
1945,7,7,18,5,22.1,112.8,40,,194505,TS
1945,7,8,0,5,22.6,112.3,35,,194505,TS
1945,7,8,6,5,23.2,111.6,35,,194505,TS
1945,7,14,12,6,9.3,132.6,20,,194506,TD
1945,7,14,18,6,10.0,131.9,20,,194506,TD
1945,7,15,0,6,10.6,131.3,20,,194506,TD
1945,7,15,6,6,11.3,130.7,20,,194506,TD
1945,7,15,12,6,12.2,130.0,20,,194506,TD
1945,7,15,18,6,13.0,129.4,20,,194506,TD
1945,7,16,0,6,13.6,128.8,20,,194506,TD
1945,7,16,6,6,14.3,128.2,30,,194506,TD
1945,7,16,12,6,14.9,127.6,45,,194506,TS
1945,7,16,18,6,15.4,127.1,45,,194506,TS
1945,7,17,0,6,16.1,126.7,40,,194506,TS
1945,7,17,6,6,17.0,126.0,35,,194506,TS
1945,7,17,12,6,18.0,125.6,35,,194506,TS
1945,7,17,18,6,19.1,125.1,45,,194506,TS
1945,7,18,0,6,20.0,125.1,50,,194506,TS
1945,7,18,6,6,21.1,125.1,50,,194506,TS
1945,7,18,12,6,22.1,125.2,55,,194506,TS
1945,7,18,18,6,23.1,125.3,55,,194506,TS
1945,7,19,0,6,24.1,125.7,55,,194506,TS
1945,7,19,6,6,25.0,126.1,60,,194506,TS
1945,7,19,12,6,26.0,126.6,65,,194506,Cat1
1945,7,19,18,6,27.0,127.1,65,,194506,Cat1
1945,7,20,0,6,28.0,127.8,65,,194506,Cat1
1945,7,20,6,6,29.4,129.0,65,,194506,Cat1
1945,7,20,12,6,31.3,131.6,60,,194506,TS
1945,7,20,18,6,32.7,134.2,55,,194506,TS
1945,7,21,0,6,33.5,137.5,50,,194506,TS
1945,7,21,6,6,33.8,140.6,40,,194506,TS
1945,7,21,12,6,35.0,141.5,35,,194506,TS
1945,7,21,18,6,35.0,143.0,30,,194506,TD
1945,7,22,0,6,35.0,145.0,25,,194506,TD
1945,7,22,12,7,17.0,118.0,20,,194507,TD
1945,7,22,18,7,18.1,117.5,25,,194507,TD
1945,7,23,0,7,19.2,117.0,35,,194507,TS
1945,7,23,6,7,20.3,116.5,35,,194507,TS
1945,7,23,12,7,21.5,116.0,30,,194507,TD
1945,7,27,12,8,22.0,154.0,35,,194508,TS
1945,7,27,18,8,23.0,153.7,35,,194508,TS
1945,7,28,0,8,23.9,153.2,35,,194508,TS
1945,7,28,6,8,24.9,152.9,35,,194508,TS
1945,7,28,12,8,26.0,152.5,40,,194508,TS
1945,7,28,18,8,27.0,152.5,40,,194508,TS
1945,7,29,0,8,28.0,152.5,40,,194508,TS
1945,7,29,6,8,29.0,152.4,40,,194508,TS
1945,7,29,12,8,30.0,152.4,35,,194508,TS
1945,7,30,0,9,22.5,128.5,35,,194509,TS
1945,7,30,6,9,22.3,128.8,40,,194509,TS
1945,7,30,12,9,22.0,129.0,40,,194509,TS
1945,7,30,18,9,22.3,129.6,40,,194509,TS
1945,7,31,0,9,22.7,130.1,40,,194509,TS
1945,7,31,6,9,23.1,130.6,40,,194509,TS
1945,7,31,12,9,23.5,131.0,50,,194509,TS
1945,7,31,18,9,23.8,130.9,60,,194509,TS
1945,8,1,0,9,24.0,130.8,70,,194509,Cat1
1945,8,1,6,9,24.2,130.6,80,,194509,Cat1
1945,8,1,12,9,24.5,130.5,70,,194509,Cat1
1945,8,1,18,9,24.7,130.2,70,,194509,Cat1
1945,8,2,0,9,25.0,130.0,60,,194509,TS
1945,8,2,6,9,25.2,129.8,60,,194509,TS
1945,8,2,12,9,25.5,129.5,50,,194509,TS
1945,8,2,18,9,26.0,129.0,50,,194509,TS
1945,8,3,0,9,26.6,128.5,50,,194509,TS
1945,8,3,6,9,27.4,128.0,50,,194509,TS
1945,8,3,12,9,28.0,127.5,50,,194509,TS
1945,8,3,18,9,31.0,127.2,50,,194509,TS
1945,8,4,0,9,34.0,127.0,40,,194509,TS
1945,8,4,6,9,36.6,127.0,40,,194509,TS
1945,8,4,12,9,39.0,127.0,40,,194509,TS
1945,8,5,12,10,15.5,123.5,40,,194510,TS
1945,8,5,18,10,16.0,122.4,45,,194510,TS
1945,8,6,0,10,16.5,121.4,45,,194510,TS
1945,8,6,6,10,17.0,120.4,50,,194510,TS
1945,8,6,12,10,17.5,119.5,50,,194510,TS
1945,8,6,18,10,17.7,118.9,50,,194510,TS
1945,8,7,0,10,17.8,118.1,60,,194510,TS
1945,8,7,6,10,17.9,117.3,60,,194510,TS
1945,8,7,12,10,18.0,116.5,70,,194510,Cat1
1945,8,7,18,10,18.4,115.6,80,,194510,Cat1
1945,8,8,0,10,18.7,115.1,70,,194510,Cat1
1945,8,8,6,10,19.0,114.2,60,,194510,TS
1945,8,8,12,10,19.5,113.5,60,,194510,TS
1945,8,8,18,10,19.8,113.0,60,,194510,TS
1945,8,9,0,10,20.2,112.5,60,,194510,TS
1945,8,9,6,10,20.7,112.0,50,,194510,TS
1945,8,9,12,10,21.0,111.5,40,,194510,TS
1945,8,9,12,11,22.0,149.0,25,,194511,TD
1945,8,9,18,11,23.2,148.4,30,,194511,TD
1945,8,10,0,11,24.6,148.0,30,,194511,TD
1945,8,10,6,11,25.7,147.5,35,,194511,TS
1945,8,10,12,11,27.0,147.0,35,,194511,TS
1945,8,10,18,11,27.4,146.7,40,,194511,TS
1945,8,11,0,11,27.9,146.4,40,,194511,TS
1945,8,11,6,11,28.5,146.2,40,,194511,TS
1945,8,11,12,11,29.0,146.0,50,,194511,TS
1945,8,11,18,11,29.7,146.4,50,,194511,TS
1945,8,12,0,11,30.4,147.0,40,,194511,TS
1945,8,12,6,11,31.1,147.3,40,,194511,TS
1945,8,12,12,11,32.0,148.0,40,,194511,TS
1945,8,12,18,11,32.8,149.0,40,,194511,TS
1945,8,13,0,11,33.7,150.0,40,,194511,TS
